generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,commits,agreement_violations,real_liveness,potential_liveness,max_height,mutations,max_inter_block_latency_sec,avg_inter_block_latency_sec,global_blocks_committed,max_round_gap_between_committed_blocks,avg_round_gap_between_committed_blocks,global_rounds_committed,max_block_height_skew,final_block_height_skew,time_fitness,round_stress_fitness,block_height_skew_fitness
,,44,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_44,False,False,False,4,0,0,0,10.0,0,17.078829,8.821148,10,4,1.75,8,2,0,17.078829,4,2
,,45,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_45,False,False,False,4,0,0,0,10.0,0,15.09127,7.849773000000001,10,3,1.625,8,2,0,15.09127,3,2
,,46,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_46,False,False,False,4,0,0,0,10.0,13,19.413871,7.599165222222222,10,4,2.0,8,2,0,19.413871,4,2
,,47,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_47,False,False,False,4,0,0,0,10.0,4,18.221208,8.494268666666667,10,3,1.75,8,2,0,18.221208,3,2
,,48,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_48,False,False,False,4,0,0,0,11.0,12,17.148588,7.7352271,11,4,1.6666666666666667,9,2,0,17.148588,4,2
,,49,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_49,False,False,False,4,0,0,0,10.0,15,21.084294,13.4390185,9,3,1.3333333333333333,9,2,1,21.084294,3,2
,,50,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_50,False,False,False,4,0,0,0,14.0,11,20.093119,11.283816999999999,10,3,1.625,8,5,4,20.093119,3,5
,,51,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_51,False,False,False,2,0,0,0,10.0,15,13.614176,9.317077222222222,10,4,1.5555555555555556,9,2,0,13.614176,4,2
,,52,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_52,False,False,False,4,0,0,0,10.0,0,13.080705,9.524344333333334,10,4,1.4444444444444444,9,2,0,13.080705,4,2
,,53,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_53,False,False,False,4,0,0,0,10.0,126,23.238143,9.189023333333333,10,3,1.75,8,2,0,23.238143,3,2
,,54,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_54,False,False,False,2,0,0,0,10.0,24,14.786539,9.379243111111112,10,3,1.5555555555555556,9,2,0,14.786539,3,2
,,55,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_55,False,False,False,4,0,0,0,14.0,26,15.075166,9.79936775,9,3,1.7142857142857142,7,5,5,15.075166,3,5
,,56,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_56,False,False,False,4,0,0,0,10.0,28,19.103114,9.100669666666668,10,4,1.875,8,2,0,19.103114,4,2
,,57,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_57,False,False,False,4,0,0,0,10.0,25,13.143701,7.258744444444444,10,3,1.625,8,2,0,13.143701,3,2
,,58,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_58,False,False,False,4,0,0,0,10.0,38,18.443511,10.666370666666667,10,3,1.5555555555555556,9,2,0,18.443511,3,2
,,59,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_59,False,False,False,4,0,0,0,10.0,38,15.089885,9.182563111111111,10,4,1.4444444444444444,9,2,0,15.089885,4,2
,,60,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_60,False,False,False,4,0,0,0,10.0,10,39.7126,11.903808333333334,10,4,1.6666666666666667,9,2,0,39.7126,4,2
,,61,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_61,False,False,False,4,0,0,0,12.0,35,24.130049,7.9753753000000005,11,3,2.0,8,4,1,24.130049,3,4
,,62,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_62,False,False,False,2,0,0,0,9.0,49,20.387509,11.32543625,9,3,1.625,8,2,0,20.387509,3,2
,,63,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_63,False,False,False,2,0,0,0,11.0,14,28.32518,8.155226666666668,10,3,1.3333333333333333,9,4,1,28.32518,3,4
,,64,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_64,False,False,False,4,0,0,0,11.0,30,15.098737,8.048518,10,3,1.625,8,5,1,15.098737,3,5
,,65,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_65,False,False,False,4,0,0,0,11.0,12,15.082207,10.284126222222222,10,3,1.3333333333333333,9,2,1,15.082207,3,2
,,66,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_66,False,False,False,2,0,0,0,10.0,8,39.874372,10.679242777777779,10,5,1.875,8,2,0,39.874372,5,2
,,67,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_67,False,False,False,4,0,0,0,11.0,16,13.082416,7.499967700000001,11,4,1.6666666666666667,9,3,0,13.082416,4,3
